author,cat_earliest,cat_latest
 Antonio Mura,math.PR,math-ph
 Antonio Padilla,astro-ph,hep-th
 Antonio Riotto,hep-ph,astro-ph
 Antonio Sa Barreto,math.AP,math.DG
 Antti Rasila,math.NA,math.AP
 Anupam Mazumdar,astro-ph,hep-th
 Anzhong Wang,hep-th,astro-ph
 Aquino Lauri Espindola,physics.comp-ph,physics.soc-ph
 Arbab I. Arbab,hep-th,astro-ph
 Archil Kobakhidze,hep-ph,gr-qc
 Ari Laptev,math-ph,math.AP
 Arie Bodek,hep-ex,hep-ph
 Ariel Caticha,physics.class-ph,physics.data-an
 Aris L. Moustakas,cond-mat.dis-nn,cs.IT
 Arjeh M. Cohen,math.RT,math.RA
 Armen Sedrakian,astro-ph,nucl-th
 Armin Rainer,math.CA,math.DG
 Arnaud Bodin,math.AC,math.AG
 Arno van den Essen,math.AG,math.AC
